지점;현재일기;시정 km;운량 1/10;중하운량;현재 기온;이슬점 온도;체감 온도;일강수 mm;습도 %;풍향;풍속 km/h;해면 기압;
강릉;-;12.0;-;-;26.4;22.4;28.8;-;79;서북서;2.2;1004.3;
강진군;구름조금;10.3;3;0;25.7;23.7;28.8;-;89;정온;0.0;1006.5;
강화;-;6.5;-;-;24.1;23.4;27.7;-;96;정온;0.4;1004.5;
거제;-;11.5;-;-;24.6;22.2;27.6;-;87;정온;1.1;1007.0;
거창;-;4.7;-;-;24.3;23.2;27.7;-;94;정온;0.7;1005.3;
경주시;-;10.0;-;-;25.3;23.7;28.6;-;91;남동;4.0;1006.7;
고산;-;9.2;-;-;27.8;25.2;30.8;-;86;동남동;13.0;1004.0;
고창;-;6.8;-;-;26.5;24.5;29.7;0.9;89;남남서;7.6;1005.4;
고창군;-;13.5;-;-;26.1;23.3;29.0;-;85;정온;0.0;1004.1;
고흥;-;5.9;-;-;25.0;24.1;28.5;-;95;동북동;2.2;1006.1;
광양시;-;20 이상;-;-;26.3;22.1;28.6;-;78;정온;1.1;1006.6;
광주;-;13.9;-;-;27.8;25.8;31.0;-;89;남;6.1;1005.5;
구미;-;-;-;-;26.3;23.1;29.0;-;83;정온;1.1;1005.2;
군산;-;16.2;-;-;26.9;23.7;29.6;-;83;남동;5.0;1004.7;
금산;-;8.9;-;-;25.5;23.3;28.6;-;88;정온;1.1;1005.3;
김해시;-;20 이상;-;-;26.7;24.5;29.8;-;88;남;3.2;1007.8;
남원;-;9.7;-;-;26.3;24.1;29.4;-;88;동북동;3.2;1005.9;
남해;-;12.6;-;-;24.9;22.1;27.7;-;85;정온;1.4;1006.3;
대관령;-;6.6;-;-;20.2;19.7;23.7;0.0;97;북북서;3.2;1005.7;
대구;-;20 이상;-;-;28.7;21.7;30.1;-;66;남남동;7.6;1005.7;
대전;-;11.9;-;-;28.3;26.1;31.4;-;88;남서;4.7;1004.8;
동두천;-;10.2;-;-;24.6;23.0;27.8;-;91;남동;2.5;1004.6;
동해;-;12.3;-;-;25.0;22.1;27.8;-;84;남서;4.7;1004.4;
목포;-;13.9;-;-;27.7;23.7;30.2;0.0;79;남동;14.8;1005.3;
문경;-;4.5;-;-;24.3;23.6;27.9;-;96;북서;2.9;1004.7;
밀양;-;9.5;-;-;25.6;22.6;28.4;-;84;서남서;2.9;1006.3;
백령도;흐림;4.4;10;9;24.9;24.8;28.8;-;100;남남동;23.8;1000.8;
보령;-;7.0;-;-;26.2;23.2;29.0;-;84;남;2.5;1003.9;
보성군;-;6.2;-;-;25.8;25.2;29.5;-;97;동북동;2.5;1006.1;
보은;-;4.8;-;-;24.4;23.8;28.0;0.0;97;정온;0.7;1004.9;
봉화;-;5.3;-;-;22.3;21.7;25.9;-;97;북서;2.2;1005.8;
부산;-;16.4;-;-;26.9;23.9;29.7;-;84;정온;0.0;1006.1;
부안;-;6.5;-;-;25.9;25.0;29.5;1.0;95;남동;2.2;1004.7;
